"","Pop_ID","Population","Row","Column","Block","Family","Replicate","Surveyor","Date","Monarch_Quantity_Observed","Liriomyza_asclepiadis","Labidomera_clivicollis","Comment","Sample","X","Patch_ID","Latitude","Longitude","Transect_ID","CTD_m","City_dist","Urb_Rur","Urb_score"
"1","MW001",1,4,7,1,2,1,"Hayden","7/16/21",4,3,0,NA,"Early",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"2","MW001",1,19,31,4,4,2,"Hayden","7/12/21",0,0,0,NA,"Early",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"3","MW001",1,4,8,1,2,2,"Hayden","7/16/21",1,1,0,NA,"Early",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"4","MW001",1,16,23,3,5,3,"Samer","7/12/21",0,0,0,NA,"Early",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"5","MW001",1,6,38,2,4,5,"Hayden","7/16/21",0,2,0,NA,"Early",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"6","MW001",1,20,11,3,5,4,"Hayden","8/17/21",0,8,0,NA,"Late",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"7","MW001",1,13,31,4,2,5,"Hayden","7/13/21",0,0,0,NA,"Early",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"8","MW001",1,6,35,2,3,4,"Hayden","7/16/21",0,1,0,NA,"Early",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"9","MW001",1,20,15,3,3,3,"Samer","7/12/21",1,1,0,NA,"Early",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"10","MW001",1,3,45,2,1,5,"Samer","8/20/21",0,0,0,NA,"Late",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"11","MW001",1,4,11,1,4,1,"Samer","8/19/21",0,3,0,NA,"Late",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"12","MW001",1,9,46,2,1,4,"Hayden","7/15/21",0,0,0,NA,"Early",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"13","MW001",1,6,26,2,1,3,"Samer","8/19/21",0,3,0,NA,"Late",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"14","MW001",1,16,23,3,5,3,"Hayden","8/17/21",0,0,0,NA,"Late",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"15","MW001",1,4,43,2,3,5,"Samer","8/19/21",0,1,0,NA,"Late",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"16","MW001",1,13,43,4,3,1,"Hayden","7/13/21",0,0,0,NA,"Early",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"17","MW001",1,6,35,2,3,4,"Samer","8/19/21",0,3,0,NA,"Late",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"18","MW001",1,19,27,4,5,1,"Hayden","8/17/21",0,0,0,NA,"Late",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"19","MW001",1,12,2,3,3,2,"Hayden","7/14/21",0,2,0,NA,"Early",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"20","MW001",1,17,46,4,4,4,"Hayden","8/17/21",0,6,0,NA,"Late",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"21","MW001",1,15,16,3,5,5,"Hayden","8/18/21",0,3,0,NA,"Late",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"22","MW001",1,9,5,1,4,3,"Hayden","7/15/21",3,4,0,NA,"Early",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"23","MW001",1,15,16,3,5,5,"Samer","7/12/21",0,0,0,NA,"Early",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"24","MW001",1,13,27,4,2,3,"Hayden","8/18/21",0,0,0,NA,"Late",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"25","MW001",1,10,5,1,5,2,"Hayden","8/19/21",0,4,0,NA,"Late",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"26","MW001",1,11,18,1,2,4,"Hayden","8/19/21",0,0,0,NA,"Late",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"27","MW001",1,17,46,4,4,4,"Samer","7/12/21",2,0,0,NA,"Early",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"28","MW001",1,19,27,4,5,1,"Hayden","7/12/21",1,1,0,NA,"Early",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"29","MW001",1,10,5,1,5,2,"Hayden","7/15/21",0,0,0,NA,"Early",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"30","MW001",1,20,15,3,3,3,"Hayden","8/17/21",1,6,0,NA,"Late",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"31","MW001",1,20,11,3,5,4,"Samer","7/12/21",1,0,0,NA,"Early",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"32","MW001",1,13,31,4,2,5,"Hayden","8/18/21",0,0,0,NA,"Late",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"33","MW001",1,9,46,2,1,4,"Samer","8/19/21",0,0,0,NA,"Late",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
"34","MW001",1,6,26,2,1,3,"Hayden","7/16/21",1,3,0,NA,"Early",1,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,"Urban",-1.17377
