"","Population","Row","Column","Block","Family","Replicate","Deer_damage_DC3","Exposed_rhizome_DC1","Monarch_damage_DC3","Ramets_veryearly","Ramets_early","Ramets_late","Total_Height_late","date_diff","rel_growth_rate","Patch_ID","Latitude","Longitude","Transect_ID","CTD_m","City_dist","Urb_score","Total_Height_veryearly","Total_Height_early","Year","Urb_Rur","Pop_ID"
"1","1",13,43,4,"3","1",0,1,0,2,1,0,0,89,-0.0310247204010513,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,0.43,0.79,"2019",NA,NA
"2","1",9,46,2,"1","4",0,0,1,3,1,1,14.8,89,-0.0164523135122427,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,0.64,0.95,"2019",NA,NA
"3","1",13,27,4,"2","3",0,0,1,1,2,3,14.1,89,0.0116487290443823,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,0.05,0.33,"2019",NA,NA
"4","1",11,18,1,"2","4",1,0,1,2,1,2,18.1,88,0.00376093841829822,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,0.13,0.21,"2019",NA,NA
"5","1",12,2,3,"3","2",0,0,0,0,1,1,11.1,89,0.0158083720035763,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,0,0.19,"2019",NA,NA
"6","1",7,37,2,"1","1",0,0,1,1,2,3,23.2,89,-0.00288814722460552,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,0.3,0.89,"2019",NA,NA
"7","1",20,15,3,"3","3",1,0,1,0,1,2,15.6,88,0.0198553512983579,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,0,0.16,"2019",NA,NA
"8","1",9,5,1,"4","3",0,0,0,1,1,2,19.5,88,0.0116420945058453,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,0.07,0.16,"2019",NA,NA
"9","1",6,35,2,"3","4",0,0,1,4,4,3,26.8,88,-0.0183735555786548,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,1.35,2.35,"2019",NA,NA
"10","1",20,11,3,"5","4",0,0,1,2,1,1,14.5,88,-0.0120854655551914,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,0.42,1.26,"2019",NA,NA
"11","1",6,38,2,"4","5",0,0,1,0,0,0,0,88,NA,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,0,NA,"2019",NA,NA
"12","1",4,43,2,"3","5",0,1,1,7,0,2,8.2,89,-0.0110888572931248,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,0.22,0,"2019",NA,NA
"13","1",4,8,1,"2","2",0,1,1,1,1,1,5.5,88,-0.00274047791837373,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,0.07,0.07,"2019",NA,NA
"14","1",16,23,3,"5","3",0,1,1,4,4,4,20.7,89,-0.0172383650696237,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,0.96,2.38,"2019",NA,NA
"15","1",17,46,4,"4","4",0,0,1,3,2,2,25.9,89,-0.00693211283373482,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,0.48,1.21,"2019",NA,NA
"16","1",4,7,1,"2","1",0,0,1,0,0,2,12.8,88,0.0176073314877906,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,0,0,"2019",NA,NA
"17","1",3,6,1,"1","2",0,0,1,1,1,1,9.5,88,-0.00592382867765098,"AS001",43.550556,-79.663,"South",25607.2117851047,25.6072117851047,-1.17377,0.16,0.33,"2019",NA,NA
